name,y,x,v_nom,carrier
Z1,58.472426,-3.437285,400,AC
Z2,52.397027,1.1649,400,AC
Z3,56.034189,-4.049232,400,AC
Z4,53.022437,-3.984836,400,AC
Z5,52.686211,-1.607465,400,AC
Z6,53.546573,-1.80408,400,AC
Z7,54.777244,-2.370137,400,AC
Z8,55.433649,-3.65369,400,AC
Z9,51.896372,-1.554352,400,AC
Z10,50.898197,-2.235535,400,AC
Z11,57.387705,-4.683131,400,AC
Z12,56.386163,-4.510102,400,AC
Netherlands,51.9605,4.0242,400,DC
Belgium,51.32593,3.18378,400,DC
France1,50.90301,1.78443,400,DC
France2,49.11079,-0.26217,400,DC
Ireland,53.47463,-6.5698,400,DC
N. Ireland,54.8432,-5.77047,400,DC
France,50.920194,1.780611,400,DC
Norway,59.5177,6.634,400,DC
Denmark,55.523056,8.709,400,DC
