name,bus,e_nom,e_initial,marginal_cost
BritNed,Netherlands,17520000,8760000,70
EastWest,Ireland,8760000,4380000,76
Moyle,N. Ireland,8760000,4380000,76
Nemo,Belgium,17520000,8760000,83
IFA,France1,35040000,17520000,69
IFA2,France2,17520000,8760000,69
NSL,Norway,24528000,12264000,35
Viking Link,Denmark,24528000,12264000,88
Eleclink,France,17520000,8760000,69
NeuConnect,Germany,24528000,12264000,80
FAB Link,France3,21900000,10950000,69
MaresConnect,Ireland,13140000,6570000,76
Tarchon,Germany,24528000,12264000,80
GridLink,France,24528000,12264000,69
Greenlink,Ireland,8760000,4380000,76
